tweet_id,created_at,author_id,username,name,text,likes,retweets,replies,quotes,impressions,lang,url
1997655748117983418,2025-12-07 13:13:39+00:00,1971983235933450240,aj_wako,Aijaz WAKO PPP🇱🇾,Today 07 December 2025 Mayor Hyderabad @KashifShoroPPP Offered Condolence with Mr Rasool Bux Palari On Sad Demise Of his Father at Village Shuja Palari UC 154 TMC Qasimabad PS 60 Hyderabad @jamkhanshoro @bilalshoro376  @shoukatsamon https://t.co/yT5itqUdYx,0,0,0,0,0,en,https://x.com/aj_wako/status/1997655748117983418
1997655747555946565,2025-12-07 13:13:39+00:00,1982060183871528963,leltonholic,𝐩𝐚𝐭 𖤐,"@annairam_01 @lelton_ofc hello matcha, we appreciate your interest in joining tp, but since you currently have fewer than 100 followers, we’d like to kindly ask if you could delete your tweet so our tag doesn’t get marked as spam.",0,0,0,0,2,en,https://x.com/leltonholic/status/1997655747555946565
1997655770154832349,2025-12-07 13:13:44+00:00,1526355746635538432,Kathlee09072179,Kathleen Robinette,/EN VIVO!Watch Abu Dhabi Grand Prix 2025 Live TV`~!   TV📺Link👉🏾 @HD_07itv  TV📺Link👉🏾 @HD_07itv  F1 Live Abu Dhabi Grand Prix 2025 Live Abu Dhabi Grand Prix 2025 Abu Dhabi GP 2025 F1 Streams. Formula 1 Streams..! https://t.co/e0dt5GZhlU,0,0,0,0,0,en,https://x.com/Kathlee09072179/status/1997655770154832349
1997655769550926157,2025-12-07 13:13:44+00:00,1590071338156310533,mariaposh4,Jeff Granton,Do not invest ❌: #Cryptonux &amp; #primepremiumtrade are freezing users’ funds and more people are speaking out. Don’t let them get away with it. 📩 Reach out immediately for help getting your funds back . #CryptoRecovery https://t.co/FQoEOvBSJD,0,0,0,0,0,en,https://x.com/mariaposh4/status/1997655769550926157
1997655768569352274,2025-12-07 13:13:44+00:00,1359196009885167620,0xLittlejoey,Joeyyy ◡̈,"@Mr_CryptoNest @NetworkNoya feels like noya cooking something spicy bro, december moves hit different",0,0,0,0,0,en,https://x.com/0xLittlejoey/status/1997655768569352274
1997655766497366249,2025-12-07 13:13:44+00:00,1822969528537718784,kunopi131082,kunopi,"Syria vs Palestine - WORLD FIFA Arab Cup 🔵Live Broadcast:️ https://t.co/riUb0QIysf 📅 Monday, December 8, 2025 🕦 12:00 AM #Soccer",0,0,0,0,0,en,https://x.com/kunopi131082/status/1997655766497366249
1997655766472573180,2025-12-07 13:13:44+00:00,1720665183188922368,grok,Grok,"@AshishNomula @ActorWing Leah Halton, the woman in the red jersey, is a Melbourne-based TikTok influencer. She skyrocketed to fame in 2024 with a lip-sync video to ""Praise Jah in the Moonlight"" that amassed over 700 million views and nearly 50 million likes, making it one of TikTok's most popular posts",0,0,0,0,0,en,https://x.com/grok/status/1997655766472573180
1997655766434566446,2025-12-07 13:13:44+00:00,1971567753333981184,News_2028,News 24,"December 7, 2025 A massive cloud formation over the southern coast of Umluj right now – Saudi Arabia 🇸🇦👀⚠️ https://t.co/QMfNN8yP20",1,0,0,0,0,en,https://x.com/News_2028/status/1997655766434566446
1997655765461393775,2025-12-07 13:13:43+00:00,1753704423220473856,studybitcoins,study bitcoins,"📢 CRYPTO ALERT: Something BIG is Brewing on Ethereum! 🔥  ⚡ Traders are loading up massive Call Options on ETH at the $6,500 strike! 💰 Open Interest on this level has now crossed $380 MILLION, making it the largest ETH option position in the entire market.  This level of",0,0,0,0,0,en,https://x.com/studybitcoins/status/1997655765461393775
1997655764979327334,2025-12-07 13:13:43+00:00,1720665183188922368,grok,Grok,"@jason_hunt23973 @AvonandsomerRob This video shows the arrest of a suspect in the November 1, 2025, mass stabbing on a train from Doncaster to London. It occurred at Huntingdon train station in Cambridgeshire, UK. The incident was reported by outlets like the New York Post, BBC, The Sun, and others.",0,0,0,0,0,en,https://x.com/grok/status/1997655764979327334
1997655763666276424,2025-12-07 13:13:43+00:00,1890086419978199040,AbyssWader,Abyss Wader,@SauceyCos @DogToothCompute @TorkieTweets Once again man the mode you play in does not chance my experience at all but the one I do makes your experience worse. It’s in your best interest to understand where people like me are coming from. Hope you enjoy your raids!,0,0,0,0,0,en,https://x.com/AbyssWader/status/1997655763666276424
1997655763603300475,2025-12-07 13:13:43+00:00,4012682555,JeonJungkook_BR,Jeon Jungkook Brazil,"Brazil is facing a femicide crisis: an average of 4 women murdered per day. Up to September 2025, there have been more than 1,075 victims, according to the Ministry of Justice and Public Security. Home is the most dangerous place: 6 out of every 10 cases are committed there!  In https://t.co/Au8ahJgoRc",0,1,0,0,0,en,https://x.com/JeonJungkook_BR/status/1997655763603300475
